"",Symbol,Date,Year,Low,High,Open,Close,Volume
624,SRTRANSFIN,2021-12-23,2021,1178.65,1219.90,1182.00,1210.30,1228235
625,SRTRANSFIN,2021-12-24,2021,1165.80,1220.00,1220.00,1177.55,1115587
626,SRTRANSFIN,2021-12-27,2021,1171.15,1228.00,1177.55,1218.70,1799531
627,SRTRANSFIN,2021-12-28,2021,1204.90,1246.85,1225.00,1211.80,801160
628,SRTRANSFIN,2021-12-29,2021,1202.25,1224.95,1216.25,1211.65,1072732
629,SRTRANSFIN,2021-12-30,2021,1185.10,1215.00,1212.00,1198.20,801796
630,SRTRANSFIN,2021-12-31,2021,1201.90,1231.50,1204.70,1217.00,1058163
631,SRTRANSFIN,2022-01-03,2022,1217.55,1258.20,1221.80,1250.75,572005
632,SRTRANSFIN,2022-01-04,2022,1231.25,1276.20,1257.00,1252.95,1277478
633,SRTRANSFIN,2022-01-05,2022,1245.00,1276.75,1252.95,1249.80,841324
634,SRTRANSFIN,2022-01-06,2022,1209.00,1249.00,1249.00,1216.30,978413
635,SRTRANSFIN,2022-01-07,2022,1203.90,1231.35,1216.20,1215.50,862316
636,SRTRANSFIN,2022-01-10,2022,1208.20,1243.00,1220.10,1222.90,970148
637,SRTRANSFIN,2022-01-11,2022,1208.00,1231.80,1222.50,1223.60,600043
638,SRTRANSFIN,2022-01-12,2022,1224.00,1249.00,1226.10,1245.25,1256723
639,SRTRANSFIN,2022-01-13,2022,1234.00,1257.00,1253.80,1247.45,633459
640,SRTRANSFIN,2022-01-14,2022,1229.10,1264.80,1240.50,1240.30,854183
641,SRTRANSFIN,2022-01-17,2022,1236.90,1254.90,1242.00,1239.05,489239
642,SRTRANSFIN,2022-01-18,2022,1186.25,1267.00,1235.00,1203.90,1426827
643,SRTRANSFIN,2022-01-19,2022,1170.95,1206.50,1205.00,1195.30,1062500
644,SRTRANSFIN,2022-01-20,2022,1197.05,1234.25,1198.00,1220.95,1293003
645,SRTRANSFIN,2022-01-21,2022,1185.00,1223.80,1214.00,1198.50,1166808
646,SRTRANSFIN,2022-01-24,2022,1140.90,1203.00,1195.10,1154.60,1870772
647,SRTRANSFIN,2022-01-25,2022,1103.20,1202.80,1140.00,1166.70,2094722
648,SRTRANSFIN,2022-01-27,2022,1170.10,1247.65,1179.95,1241.10,2948439
649,SRTRANSFIN,2022-01-28,2022,1236.05,1299.85,1250.00,1242.85,1858093
650,SRTRANSFIN,2022-01-31,2022,1225.00,1272.00,1259.00,1228.40,973425
651,SRTRANSFIN,2022-02-01,2022,1234.55,1290.00,1248.60,1280.25,1105798
652,SRTRANSFIN,2022-02-02,2022,1271.00,1304.35,1291.00,1283.80,909404
653,SRTRANSFIN,2022-02-03,2022,1255.00,1287.00,1287.00,1263.20,473461
654,SRTRANSFIN,2022-02-03,2022,1255.00,1287.00,1287.00,1263.20,473461
655,SRTRANSFIN,2022-02-04,2022,1229.05,1267.60,1260.00,1233.20,526797
656,SRTRANSFIN,2022-02-07,2022,1211.00,1251.00,1235.00,1218.80,406059
657,SRTRANSFIN,2022-02-08,2022,1206.65,1245.35,1225.60,1240.25,761581
658,SRTRANSFIN,2022-02-09,2022,1233.00,1254.00,1240.00,1245.15,444026
659,SRTRANSFIN,2022-02-10,2022,1232.10,1275.00,1245.00,1265.60,633358
660,SRTRANSFIN,2022-02-11,2022,1228.20,1264.00,1253.00,1235.55,583974
661,SRTRANSFIN,2022-02-14,2022,1153.60,1206.00,1206.00,1160.85,1315646
662,SRTRANSFIN,2022-02-15,2022,1143.15,1220.90,1171.00,1208.00,977314
663,SRTRANSFIN,2022-02-16,2022,1216.10,1274.40,1224.05,1220.60,1869517
664,SRTRANSFIN,2022-02-17,2022,1229.40,1282.35,1232.00,1277.45,2219232
665,SRTRANSFIN,2022-02-18,2022,1250.40,1291.95,1269.00,1258.10,1216867
666,SRTRANSFIN,2022-02-21,2022,1210.10,1252.55,1244.00,1220.20,909203
667,SRTRANSFIN,2022-02-22,2022,1176.35,1216.00,1200.00,1204.20,881633
668,SRTRANSFIN,2022-02-23,2022,1171.55,1221.80,1218.00,1175.10,934059
669,SRTRANSFIN,2022-02-24,2022,1060.00,1154.45,1140.00,1068.60,1505101
670,SRTRANSFIN,2022-02-25,2022,1102.25,1159.40,1115.60,1127.50,1857537
671,SRTRANSFIN,2022-02-28,2022,1081.00,1128.00,1109.00,1124.20,1370871
672,SRTRANSFIN,2022-03-02,2022,1066.00,1147.30,1103.00,1095.55,1686020
